days, USD/FT
1,2.404942
2,2.417765
3,2.418773
4,2.41779
5,2.418803
6,2.41923
7,2.418786
8,2.432864
9,2.469067
10,2.491107
11,2.49349
12,2.527016
13,2.570602
14,2.603803
15,2.618914
16,2.610433
17,2.612833
18,2.580351
19,2.44438
20,2.450365
21,2.441993
22,2.39622
23,2.351046
24,2.345291
25,2.355419
26,2.423111
27,2.488171
28,2.483697
29,2.531108
30,2.576275
31,2.542806
32,2.476971
33,2.41927
34,2.429345
35,2.391601
36,2.31873
37,2.228473
38,2.276873
39,2.340199
40,2.388802
41,2.41538
42,2.389725
43,2.390838
44,2.346647
45,2.316324
46,2.332624
47,2.328517
48,2.327855
49,2.362283
50,2.394343
51,2.41802
52,2.370009
53,2.322173
54,2.28177
55,2.183903
56,2.114212
57,2.086112
58,2.05654
59,2.050755
60,2.02177
61,2.028079
62,2.026958
63,1.945348
64,1.847346
65,1.808163
66,1.763908
67,1.786167
68,1.782958
69,1.731159
70,1.641124
71,1.63659
72,1.678553
73,1.713347
74,1.710191
75,1.717144
76,1.719244
77,1.718671
78,1.719243
79,1.722385
80,1.740313
81,1.743491
82,1.770587
83,1.81985
84,1.856518
85,1.933433
86,1.940221
87,1.907386
88,1.850979
89,1.81819
90,1.836845
91,1.89485
92,1.94199
93,1.95812
94,2.006774
95,1.963458
96,1.98604
97,2.00674
98,2.004296
99,2.03765
100,2.074889
101,2.057737
102,2.110094
103,2.260996
104,2.238939
105,2.199065
106,2.146471
107,2.129427
108,2.198761
109,2.262637
110,2.290489
111,2.206926
112,2.208867
113,2.302391
114,2.337509
115,2.372744
116,2.369729
117,2.402649
118,2.417401
119,2.399042
120,2.345856
121,2.404229
122,2.296524
123,2.229571
124,2.176134
125,2.091934
126,1.977725
127,1.874938
128,1.821911
129,1.815374
130,1.842979
131,1.90318
132,1.905204
133,1.888032
134,1.846801
135,1.808178
136,1.769257
137,1.812093
138,1.75739
139,1.735686
140,1.726606
141,1.713452
142,1.697535
143,1.633695
144,1.619047
145,1.576336
146,1.532345
147,1.490932
148,1.536143
149,1.574475
150,1.550582
151,1.529003
152,1.502122
153,1.498733
154,1.497547
155,1.477569
156,1.434291
157,1.410379
158,1.438955
159,1.456312
160,1.422673
161,1.389277
162,1.37856
163,1.32076
164,1.313152
165,1.259666
166,1.220083
167,1.243087
168,1.185307
169,1.130712
170,1.096836
171,1.12063
172,1.239127
173,1.248036
174,1.280146
175,1.377943
176,1.386131
177,1.363774
178,1.422249
179,1.43966
180,1.445026
181,1.425468
182,1.429973
183,1.468392
184,1.496986
185,1.521908
186,1.507635
187,1.509589
188,1.486432
189,1.472714
190,1.42758
191,1.42398
192,1.436535
193,1.505099
194,1.526247
195,1.592265
196,1.630269
197,1.667107
198,1.63091
199,1.609685
200,1.59669
201,1.644283
202,1.661324
203,1.774889
204,1.828432
205,1.806311
206,1.756558
207,1.83035
208,1.875907
209,1.869898
210,1.783366
211,1.705346
212,1.697684
213,1.683727
214,1.735837
215,1.808193
216,1.82518
217,1.777296
218,1.753785
219,1.716105
220,1.700132
221,1.631784
222,1.552741
223,1.622214
224,1.596662
225,1.570496
226,1.587414
227,1.572823
228,1.596886
229,1.64915
230,1.69609
231,1.624651
232,1.637357
233,1.678022
234,1.708948
235,1.807164
236,1.899495
237,1.880235
238,1.945457
239,1.964132
240,1.922262
241,1.933783
242,1.96544
243,1.824106
244,1.748678
245,1.725878
246,1.64736
247,1.648009
248,1.68284
249,1.724043
250,1.722043
251,1.7775
252,1.828577
253,1.815182
254,1.777305
255,1.724617
256,1.756567
257,1.809011
258,1.852933
259,1.919117
260,1.940057
261,1.85686
262,1.655986
263,1.526976
264,1.551331
265,1.532124
266,1.437775
267,1.461135
268,1.544628
269,1.548728
270,1.511512
271,1.497214
272,1.49194
273,1.524751
274,1.503705
275,1.480764
276,1.490813
277,1.492733
278,1.479059
279,1.491806
280,1.483335
281,1.503227
282,1.52506
283,1.545657
284,1.541996
285,1.563332
286,1.606066
287,1.589413
288,1.558437
289,1.574042
290,1.571731
291,1.60036
292,1.607559
293,1.588192
294,1.595041
295,1.594925
296,1.568274
297,1.557381
298,1.57801
299,1.563125
300,1.539482
301,1.531391
302,1.536057
303,1.52722
304,1.516344
305,1.514997
306,1.542001
307,1.553957
308,1.549908
309,1.559348
310,1.585622
311,1.662677
312,1.664441
313,1.662405
314,1.625859
315,1.607813
316,1.629292
317,1.633921
318,1.644394
319,1.67166
320,1.602056
321,1.599996
322,1.631451
323,1.688106
324,1.661801
325,1.636476
326,1.63955
327,1.661611
328,1.671799
329,1.638196
330,1.650573
331,1.643831
332,1.63319
333,1.680726
334,1.694273
335,1.661805
336,1.670334
337,1.651507
338,1.627806
339,1.621282
340,1.60969
341,1.614581
342,1.595975
343,1.573754
344,1.606239
345,1.623553
346,1.657639
347,1.622861
348,1.613825
349,1.63938
350,1.599957
351,1.579318
352,1.583418
353,1.506711
354,1.508368
355,1.508161
356,1.489248
357,1.435113
358,1.451009
359,1.42641
360,1.462694
361,1.478083
362,1.453769
363,1.445526
364,1.434373
365,1.425351
366,1.401248
367,1.414185
368,1.436756
369,1.462598
370,1.4519
371,1.437089
372,1.439578
373,1.432466
374,1.42256
375,1.422367
376,1.442547
377,1.45966
378,1.483421
379,1.553502
380,1.536616
381,1.55536
382,1.557468
383,1.571813
384,1.585669
385,1.616418
386,1.608786
387,1.583206
388,1.574306
389,1.623801
390,1.660912
391,1.623715
392,1.592969
393,1.610007
394,1.676061
395,1.689056
396,1.750153
397,1.822392
398,1.868417
399,1.826804
400,1.801568
401,1.788013
402,1.827613
403,1.842391
404,1.81892
405,1.793308
406,1.806263
407,1.859549
408,1.929198
409,1.877898
410,1.886968
411,1.906674
412,1.894504
413,1.855962
414,1.818528
415,1.751331
416,1.793878
417,1.808866
418,1.763338
419,1.734968
420,1.745604
421,1.764356
422,1.748031
423,1.743681
424,1.766614
425,1.868877
426,1.842272
427,1.844067
428,1.89327
429,1.885784
430,1.875158
431,1.911275
432,1.963674
433,1.959481
434,1.957248
435,1.946769
436,1.989604
437,1.983011
438,1.986126
439,2.03379
440,2.010232
441,2.017319
442,2.043749
443,2.071328
444,2.022012
445,1.969645
446,1.963949
447,2.003652
448,1.981561
449,1.964083
450,1.96491
451,1.988431
452,1.88914
453,1.798062
454,1.694127
455,1.533716
456,1.487133
457,1.442605
458,1.441678
459,1.418862
460,1.469639
461,1.543706
462,1.636207
463,1.636377
464,1.654207
465,1.633977
466,1.618541
467,1.659424
468,1.624166
469,1.616312
470,1.5623
471,1.504956
472,1.532873
473,1.465949
474,1.475054
475,1.528177
476,1.565443
477,1.555654
478,1.585867
479,1.597413
480,1.558809
481,1.577022
482,1.612672
483,1.615125
484,1.63565
485,1.634392
486,1.621372
487,1.612281
488,1.636092
489,1.579572
490,1.574691
491,1.581045
492,1.561364
493,1.550842
494,1.580009
495,1.581943
496,1.601471
497,1.591172
498,1.554542
499,1.558926
500,1.571915
501,1.610516
502,1.608409
